query_id,query_timestamp,signal_timestamp,entry_timestamp,query_market,query_ticker,neighbor_rank,retrieved_record_id,retrieved_ticker,memory_event_timestamp,outcome_availability_timestamp,source_market_session_index,calendar_separation_days,same_ticker_check,session_separation_ge_21,outcome_available_before_query,split_boundary_observed,checkpoint_hash,scaler_hash
QRY_0001,2024-01-02 09:30:00,2024-01-02 16:00:00,2024-01-02 09:30:00 (Next Open),US,AAPL,1,MEM_US_20181207_AMD_01,AMD,2018-12-07 16:00:00,2019-06-03 16:00:00,1286,1852,True,True,True,True,5a5e9bc55769d641,e29b73422e31384c
QRY_0001,2024-01-02 09:30:00,2024-01-02 16:00:00,2024-01-02 09:30:00 (Next Open),US,AAPL,2,MEM_US_20150408_AMGN_02,AMGN,2015-04-08 16:00:00,2015-10-01 16:00:00,329,3191,True,True,True,True,5a5e9bc55769d641,e29b73422e31384c
QRY_0001,2024-01-02 09:30:00,2024-01-02 16:00:00,2024-01-02 09:30:00 (Next Open),US,AAPL,3,MEM_US_20141106_AMZN_03,AMZN,2014-11-06 16:00:00,2015-05-01 16:00:00,220,3344,True,True,True,True,5a5e9bc55769d641,e29b73422e31384c
QRY_0001,2024-01-02 09:30:00,2024-01-02 16:00:00,2024-01-02 09:30:00 (Next Open),US,AAPL,4,MEM_US_20150127_AVGO_04,AVGO,2015-01-27 16:00:00,2015-07-22 16:00:00,278,3262,True,True,True,True,5a5e9bc55769d641,e29b73422e31384c
QRY_0001,2024-01-02 09:30:00,2024-01-02 16:00:00,2024-01-02 09:30:00 (Next Open),US,AAPL,5,MEM_US_20180412_CRM_05,CRM,2018-04-12 16:00:00,2018-10-05 16:00:00,1115,2091,True,True,True,True,5a5e9bc55769d641,e29b73422e31384c
QRY_0001,2024-01-02 09:30:00,2024-01-02 16:00:00,2024-01-02 09:30:00 (Next Open),US,AAPL,6,MEM_US_20170515_GOOGL_06,GOOGL,2017-05-15 16:00:00,2017-11-07 16:00:00,877,2423,True,True,True,True,5a5e9bc55769d641,e29b73422e31384c
QRY_0001,2024-01-02 09:30:00,2024-01-02 16:00:00,2024-01-02 09:30:00 (Next Open),US,AAPL,7,MEM_US_20140923_INTU_07,INTU,2014-09-23 16:00:00,2015-03-18 16:00:00,188,3388,True,True,True,True,5a5e9bc55769d641,e29b73422e31384c
QRY_0001,2024-01-02 09:30:00,2024-01-02 16:00:00,2024-01-02 09:30:00 (Next Open),US,AAPL,8,MEM_US_20181225_ISRG_08,ISRG,2018-12-25 16:00:00,2019-06-19 16:00:00,1298,1834,True,True,True,True,5a5e9bc55769d641,e29b73422e31384c
QRY_0001,2024-01-02 09:30:00,2024-01-02 16:00:00,2024-01-02 09:30:00 (Next Open),US,AAPL,9,MEM_US_20180319_LMT_09,LMT,2018-03-19 16:00:00,2018-09-11 16:00:00,1097,2115,True,True,True,True,5a5e9bc55769d641,e29b73422e31384c
QRY_0001,2024-01-02 09:30:00,2024-01-02 16:00:00,2024-01-02 09:30:00 (Next Open),US,AAPL,10,MEM_US_20180731_META_10,META,2018-07-31 16:00:00,2019-01-23 16:00:00,1193,1981,True,True,True,True,5a5e9bc55769d641,e29b73422e31384c
QRY_0001,2024-01-02 09:30:00,2024-01-02 16:00:00,2024-01-02 09:30:00 (Next Open),US,AAPL,11,MEM_US_20170313_MSFT_11,MSFT,2017-03-13 16:00:00,2017-09-05 16:00:00,832,2486,True,True,True,True,5a5e9bc55769d641,e29b73422e31384c
