draw_id,market,seed,decision_date,random_precedent_count,random_mu,random_cvar,random_top5_weight_share,random_effective_n
RND_SESS_US_7_0000,US,7,2024-01-02,25,0.003734503730681976,-0.18836261675455057,0.4486380804511638,15.627467219155905
RND_SESS_US_7_0018,US,7,2024-04-03,25,0.04984973043104129,-0.1421508696315048,0.43380733392022686,15.447199118155407
RND_SESS_US_7_0036,US,7,2024-07-03,25,0.010041209752402566,-0.18010834187032504,0.5889442026572618,10.774546277957024
RND_SESS_US_7_0054,US,7,2024-07-17,25,0.03706917683351004,-0.1985403132427784,0.5249422800842641,12.586566743291328
RND_SESS_US_7_0072,US,7,2024-08-05,25,0.07052013103598698,-0.16478493193828558,0.5469023023122708,11.666486815345081
RND_SESS_US_7_0090,US,7,2024-10-02,25,0.05652368736992749,-0.1609377593530617,0.4267983577152702,16.15091884305528
RND_SESS_US_7_0108,US,7,2024-11-01,25,0.11420085625459409,-0.16719649029463646,0.5452290706928015,11.152775635836301
RND_SESS_US_7_0126,US,7,2024-12-09,25,0.0592359501180176,-0.23558614211830858,0.47006096615632786,15.085610716642307
RND_SESS_US_7_0144,US,7,2024-12-12,25,-0.010329769448789144,-0.2270825419492967,0.42885762074846856,17.408052253382696
RND_SESS_US_17_0162,US,17,2024-01-02,25,0.04812631205788471,-0.20040082619749128,0.5037533418738813,13.293163231679044
RND_SESS_US_17_0180,US,17,2024-04-03,25,-0.04540415113891584,-0.28658460230472893,0.6541192796835047,8.850572162790936
RND_SESS_US_17_0198,US,17,2024-04-25,25,0.07530291290558536,-0.10899192614299093,0.5323883591740998,12.319925442944706
RND_SESS_US_17_0216,US,17,2024-07-03,25,0.05956706905921586,-0.1493024490796212,0.5889246856167709,11.412416900427724
RND_SESS_US_17_0234,US,17,2024-07-26,25,0.03128893558826655,-0.17829964775927443,0.5004171421594308,12.932293928645255
RND_SESS_US_17_0252,US,17,2024-10-02,25,0.03480134468197346,-0.11061707210320856,0.4789649755094745,14.747558574999323
RND_SESS_US_17_0270,US,17,2024-10-24,25,0.03289417649764035,-0.19420034908630657,0.4905075683203103,13.615136636300523
RND_SESS_US_17_0288,US,17,2024-11-25,25,0.011214997809218476,-0.18101204852698477,0.5408641355552287,12.236977977704054
RND_SESS_US_17_0306,US,17,2024-12-12,25,0.03033632739291733,-0.26416840014578813,0.41666461067045313,16.707112064067594
