date,market,seed,P0,P1,P2,P3,P4,P5,P6,diff_P0_minus_P1,diff_P0_minus_P2,diff_P0_minus_P3,diff_P0_minus_P4,diff_P0_minus_P5,diff_P0_minus_P6
2024-01-02,Brazil,7,-0.004357,-0.009823,0.012149,-0.014059,0.002802,-0.014377,-0.006184,0.005466,-0.016506,0.009702,-0.0071589999999999996,0.01002,0.0018270000000000005
2024-01-02,Brazil,17,0.006502,0.008101,0.020208,0.007842,0.014611,0.001517,0.006316,-0.0015990000000000006,-0.013706,-0.00134,-0.008109000000000002,0.004985,0.00018599999999999953
2024-01-02,Brazil,37,-0.007629,0.013425,0.011705,0.002057,-0.00231,0.014963,0.003084,-0.021054,-0.019334,-0.009686,-0.005319000000000001,-0.022592,-0.010713
2024-01-02,China,7,0.035499,0.003157,-0.007924,0.000583,0.005169,0.030942,0.006506,0.032342,0.043423,0.034916,0.030330000000000003,0.004557000000000002,0.028993000000000005
2024-01-02,China,17,-0.028482,0.011344,0.000264,0.011052,-0.002822,0.005259,-0.006382,-0.039826,-0.028746,-0.039534,-0.025660000000000002,-0.033741,-0.0221
2024-01-02,China,37,0.009592,0.007902,-0.019059,-0.000646,0.008166,0.009675,-0.020612,0.0016900000000000005,0.028651,0.010238,0.0014260000000000002,-8.299999999999974e-05,0.030203999999999998
2024-01-02,France,7,0.015612,-0.005291,0.002567,-0.002316,0.005849,0.001443,0.002551,0.020902999999999998,0.013045,0.017928,0.009762999999999999,0.014169,0.013061
2024-01-02,France,17,-0.008833,0.012692,0.00187,-0.003855,0.014714,-0.003902,0.002195,-0.021525000000000002,-0.010703,-0.004978000000000001,-0.023547,-0.0049310000000000005,-0.011028
2024-01-02,France,37,0.000273,-0.010174,-0.009099,-0.008993,0.002163,-0.007069,-0.001647,0.010447000000000001,0.009372,0.009266,-0.00189,0.007342,0.00192
2024-01-02,India,7,-0.004873,-0.003335,-0.003788,0.003204,-0.006339,-0.001618,0.000275,-0.0015379999999999999,-0.0010849999999999996,-0.008076999999999999,0.0014660000000000003,-0.0032549999999999996,-0.005148
2024-01-02,India,17,-0.011278,-0.001289,-0.005412,-0.00227,-0.003645,-0.023882,0.005292,-0.009989,-0.005866,-0.009008,-0.007633,0.012604,-0.01657
2024-01-02,India,37,-0.013345,0.010951,-0.002101,-0.018862,-0.021307,-0.015101,0.010353,-0.024295999999999998,-0.011243999999999999,0.005517000000000001,0.007962,0.0017560000000000006,-0.023697999999999997
2024-01-02,UK,7,-0.007268,0.002493,0.005433,0.012699,-0.002092,-0.007348,-0.005745,-0.009761,-0.012701,-0.019967,-0.005176,8.000000000000021e-05,-0.001523
2024-01-02,UK,17,0.007225,-0.015893,-0.001959,-0.014362,-0.010111,-0.001721,-0.005527,0.023118,0.009184,0.021587,0.017336,0.008945999999999999,0.012752
